,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
11961,51,admin.,divorced,unknown,no,yes,no,telephone,jun,tue,528,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,yes
37026,23,student,single,high.school,no,yes,no,cellular,jul,tue,682,2,13,1,success,-2.9,92.469,-33.6,1.044,5076.2,yes
39615,37,management,married,high.school,no,no,no,cellular,may,fri,292,3,999,0,nonexistent,-1.8,93.876,-40.0,0.682,5008.7,yes
22764,35,management,divorced,university.degree,no,yes,no,cellular,aug,mon,961,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes
11444,46,admin.,married,basic.9y,unknown,yes,no,telephone,jun,fri,856,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,yes
26877,56,services,married,high.school,no,no,no,telephone,nov,thu,871,3,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,yes
3988,45,blue-collar,married,unknown,no,yes,yes,telephone,may,mon,943,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,yes
24211,55,blue-collar,married,basic.9y,no,no,no,cellular,nov,mon,1077,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,yes
24088,29,admin.,married,basic.9y,no,yes,no,telephone,nov,fri,453,1,999,0,nonexistent,-0.1,93.2,-42.0,4.474,5195.8,yes
29116,33,technician,married,professional.course,no,no,yes,cellular,apr,fri,404,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,yes
36723,30,management,single,university.degree,no,no,yes,cellular,jun,fri,244,7,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,yes
16796,41,entrepreneur,single,high.school,no,yes,no,cellular,jul,thu,1204,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
38838,40,technician,single,university.degree,no,no,no,cellular,nov,mon,130,1,7,2,failure,-3.4,92.649,-30.1,0.714,5017.5,yes
35072,33,blue-collar,married,basic.9y,unknown,yes,no,cellular,may,fri,730,5,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,yes
33502,41,blue-collar,married,basic.6y,no,no,no,cellular,may,tue,897,4,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,yes
29432,48,services,married,high.school,no,no,no,cellular,apr,mon,1112,3,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
38439,25,services,single,high.school,no,yes,no,cellular,oct,thu,260,2,999,0,nonexistent,-3.4,92.431,-26.9,0.733,5017.5,yes
15353,31,admin.,single,basic.9y,no,no,no,cellular,jul,fri,978,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,yes
39831,44,technician,married,university.degree,no,yes,no,telephone,jun,wed,712,1,6,3,failure,-1.7,94.055,-39.8,0.715,4991.6,yes
38199,56,unknown,married,basic.4y,no,no,no,cellular,oct,tue,480,1,2,2,success,-3.4,92.431,-26.9,0.744,5017.5,yes
8246,48,management,married,university.degree,no,yes,yes,telephone,jun,tue,1025,7,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,yes
37207,76,retired,married,basic.4y,no,yes,no,cellular,aug,fri,345,2,999,0,nonexistent,-2.9,92.201,-31.4,0.881,5076.2,yes
5638,29,student,single,high.school,no,no,yes,telephone,may,mon,630,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
30303,30,technician,married,university.degree,no,yes,yes,cellular,apr,thu,1373,2,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
39892,78,retired,divorced,unknown,no,no,no,cellular,jun,thu,544,1,999,0,nonexistent,-1.7,94.055,-39.8,0.729,4991.6,yes
40845,29,admin.,single,university.degree,no,no,no,cellular,sep,tue,600,2,3,3,success,-1.1,94.199,-37.5,0.88,4963.6,yes
37662,50,admin.,married,university.degree,no,no,no,cellular,aug,tue,587,2,999,1,failure,-2.9,92.201,-31.4,0.859,5076.2,yes
39654,45,blue-collar,married,professional.course,no,yes,no,telephone,may,thu,414,1,6,2,success,-1.8,93.876,-40.0,0.683,5008.7,yes
39718,24,unemployed,single,high.school,no,no,yes,cellular,may,mon,375,2,999,0,nonexistent,-1.8,93.876,-40.0,0.697,5008.7,yes
37955,18,student,single,unknown,no,yes,no,cellular,sep,fri,563,1,999,0,nonexistent,-3.4,92.379,-29.8,0.803,5017.5,yes
27746,33,management,married,university.degree,no,yes,no,telephone,mar,thu,181,1,999,0,nonexistent,-1.8,92.843,-50.0,1.757,5099.1,yes
35260,31,admin.,single,basic.9y,no,no,no,cellular,may,fri,406,4,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,yes
37783,66,retired,married,basic.4y,unknown,yes,no,cellular,aug,tue,142,2,999,0,nonexistent,-2.9,92.201,-31.4,0.838,5076.2,yes
41022,23,student,single,high.school,no,no,yes,cellular,oct,fri,380,1,3,1,success,-1.1,94.601,-49.5,1.029,4963.6,yes
30188,45,admin.,single,high.school,no,yes,no,cellular,apr,thu,354,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,yes
30529,31,services,married,high.school,unknown,no,no,cellular,may,mon,619,6,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,yes
36770,54,blue-collar,married,basic.9y,no,yes,no,cellular,jun,fri,239,2,3,1,success,-2.9,92.963,-40.8,1.268,5076.2,yes
17216,39,admin.,married,university.degree,no,no,no,cellular,jul,fri,743,13,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
30292,47,blue-collar,married,high.school,no,no,no,cellular,apr,thu,439,2,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
35895,37,admin.,married,university.degree,no,yes,no,cellular,may,fri,685,1,999,0,nonexistent,-1.8,92.893,-46.2,1.259,5099.1,yes
36693,48,admin.,married,university.degree,no,yes,no,telephone,jun,fri,522,3,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,yes
16635,21,blue-collar,married,basic.9y,no,yes,no,cellular,jul,wed,2078,6,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,yes
38415,88,retired,divorced,basic.4y,no,no,no,cellular,oct,wed,512,2,6,1,success,-3.4,92.431,-26.9,0.735,5017.5,yes
35617,33,services,married,high.school,no,no,yes,cellular,may,mon,600,4,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,yes
36988,48,admin.,divorced,university.degree,no,yes,no,cellular,jul,fri,409,2,999,0,nonexistent,-2.9,92.469,-33.6,1.059,5076.2,yes
39638,50,admin.,married,university.degree,no,yes,no,cellular,may,wed,176,2,3,3,success,-1.8,93.876,-40.0,0.682,5008.7,yes
39135,66,retired,married,professional.course,no,no,yes,cellular,mar,tue,525,1,21,2,failure,-1.8,93.369,-34.8,0.655,5008.7,yes
40472,35,admin.,married,university.degree,no,yes,no,cellular,aug,wed,765,2,6,3,success,-1.7,94.027,-38.3,0.903,4991.6,yes
11936,40,admin.,single,university.degree,no,no,no,telephone,jun,mon,498,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,yes
28308,25,admin.,single,professional.course,no,yes,no,cellular,apr,wed,114,1,999,0,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,yes
12806,39,blue-collar,married,basic.6y,unknown,no,no,cellular,jul,tue,634,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
18845,58,blue-collar,married,basic.9y,no,yes,no,cellular,aug,mon,846,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,yes
28741,50,self-employed,married,university.degree,no,yes,no,cellular,apr,thu,1463,2,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,yes
14871,35,admin.,single,high.school,no,yes,yes,cellular,jul,wed,652,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,yes
30581,61,technician,divorced,professional.course,no,yes,no,cellular,may,mon,268,3,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,yes
39471,82,retired,divorced,basic.4y,no,no,no,cellular,apr,mon,529,1,6,2,success,-1.8,93.749,-34.6,0.643,5008.7,yes
15319,31,blue-collar,single,basic.9y,no,yes,yes,cellular,jul,fri,1081,2,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,yes
37370,50,blue-collar,married,unknown,no,yes,yes,cellular,aug,tue,589,2,999,0,nonexistent,-2.9,92.201,-31.4,0.883,5076.2,yes
23019,33,technician,married,professional.course,unknown,yes,no,cellular,aug,tue,731,7,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes
30140,39,technician,married,professional.course,no,yes,no,cellular,apr,thu,381,1,999,1,failure,-1.8,93.075,-47.1,1.365,5099.1,yes
39657,31,admin.,married,university.degree,no,yes,no,cellular,may,thu,400,1,3,1,success,-1.8,93.876,-40.0,0.683,5008.7,yes
3506,30,admin.,single,high.school,no,no,yes,telephone,may,thu,892,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,yes
39451,48,admin.,married,university.degree,no,no,no,telephone,apr,thu,185,1,6,2,success,-1.8,93.749,-34.6,0.644,5008.7,yes
14803,49,retired,married,high.school,no,yes,no,cellular,jul,wed,555,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,yes
40091,39,admin.,divorced,university.degree,no,yes,yes,cellular,jul,mon,398,10,999,1,failure,-1.7,94.215,-40.3,0.827,4991.6,yes
17920,57,admin.,divorced,university.degree,unknown,yes,yes,cellular,jul,tue,816,6,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,yes
39829,34,admin.,married,university.degree,no,no,no,cellular,jun,wed,150,1,3,2,success,-1.7,94.055,-39.8,0.715,4991.6,yes
6860,59,retired,married,professional.course,no,no,no,telephone,may,wed,560,9,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
35937,34,admin.,married,university.degree,no,yes,no,cellular,may,mon,915,2,999,0,nonexistent,-1.8,92.893,-46.2,1.264,5099.1,yes
39419,26,unemployed,single,university.degree,no,yes,no,cellular,apr,thu,618,1,999,0,nonexistent,-1.8,93.749,-34.6,0.64,5008.7,yes
27822,26,management,single,university.degree,no,yes,no,cellular,mar,thu,119,1,999,0,nonexistent,-1.8,92.843,-50.0,1.65,5099.1,yes
1763,24,services,single,high.school,no,yes,no,telephone,may,fri,654,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,yes
40426,24,admin.,single,university.degree,no,no,no,cellular,aug,fri,744,1,999,2,failure,-1.7,94.027,-38.3,0.905,4991.6,yes
40877,22,self-employed,single,professional.course,no,yes,no,cellular,oct,wed,218,1,999,0,nonexistent,-1.1,94.601,-49.5,0.959,4963.6,yes
40283,51,retired,divorced,high.school,no,no,no,cellular,jul,wed,115,3,999,0,nonexistent,-1.7,94.215,-40.3,0.896,4991.6,yes
9524,29,admin.,single,university.degree,no,no,no,telephone,jun,mon,1055,10,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,yes
27963,80,management,divorced,professional.course,unknown,yes,no,cellular,mar,tue,158,2,999,0,nonexistent,-1.8,92.843,-50.0,1.51,5099.1,yes
38151,35,admin.,married,university.degree,no,yes,no,telephone,sep,wed,234,1,999,0,nonexistent,-3.4,92.379,-29.8,0.753,5017.5,yes
30297,46,admin.,married,basic.6y,no,no,no,cellular,apr,thu,278,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
5107,38,technician,married,basic.6y,unknown,no,no,telephone,may,fri,785,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
39804,29,technician,single,professional.course,no,yes,no,cellular,jun,wed,226,2,6,1,success,-1.7,94.055,-39.8,0.704,4991.6,yes
12982,34,admin.,single,university.degree,no,yes,no,cellular,jul,tue,819,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
27366,34,admin.,divorced,university.degree,no,no,no,cellular,nov,fri,549,2,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,yes
10076,28,management,single,university.degree,no,no,no,telephone,jun,thu,651,5,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,yes
37274,38,technician,married,professional.course,no,no,no,cellular,aug,mon,923,1,999,1,failure,-2.9,92.201,-31.4,0.884,5076.2,yes
30610,59,management,married,university.degree,no,no,no,telephone,may,mon,340,8,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,yes
39586,32,student,single,unknown,no,yes,no,cellular,may,wed,188,2,999,0,nonexistent,-1.8,93.876,-40.0,0.672,5008.7,yes
39058,76,retired,married,university.degree,no,yes,yes,cellular,dec,thu,330,2,4,2,success,-3.0,92.713,-33.0,0.712,5023.5,yes
41063,48,admin.,married,university.degree,no,yes,no,cellular,nov,mon,159,1,6,3,success,-1.1,94.767,-50.8,1.05,4963.6,yes
31072,34,admin.,single,high.school,no,yes,no,cellular,may,wed,653,1,11,1,success,-1.8,92.893,-46.2,1.334,5099.1,yes
26774,39,management,married,unknown,no,yes,yes,cellular,nov,thu,758,1,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,yes
34094,36,admin.,single,university.degree,no,no,yes,cellular,may,wed,1119,2,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,yes
28831,56,admin.,married,basic.9y,no,yes,no,cellular,apr,thu,299,2,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,yes
38104,36,admin.,married,high.school,no,no,no,cellular,sep,thu,543,1,999,0,nonexistent,-3.4,92.379,-29.8,0.766,5017.5,yes
14482,57,self-employed,married,professional.course,no,yes,no,cellular,jul,tue,1056,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,yes
9203,38,admin.,married,university.degree,no,no,no,telephone,jun,fri,460,4,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,yes
504,39,services,married,high.school,unknown,yes,no,telephone,may,tue,918,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
36440,47,management,married,basic.9y,no,yes,no,cellular,jun,tue,181,3,999,1,failure,-2.9,92.963,-40.8,1.262,5076.2,yes
38990,54,blue-collar,married,high.school,no,no,no,cellular,dec,mon,344,1,999,0,nonexistent,-3.0,92.713,-33.0,0.717,5023.5,yes
28939,29,admin.,single,university.degree,no,no,no,cellular,apr,fri,678,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
20187,52,blue-collar,married,basic.4y,no,yes,no,cellular,aug,mon,917,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes
39398,41,admin.,divorced,high.school,no,no,no,telephone,apr,thu,558,2,999,0,nonexistent,-1.8,93.749,-34.6,0.635,5008.7,yes
31989,48,technician,married,basic.9y,no,no,no,cellular,may,thu,553,3,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,yes
30209,37,self-employed,single,university.degree,no,yes,no,cellular,apr,thu,465,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
27054,48,management,married,university.degree,no,no,yes,cellular,nov,fri,591,1,999,1,failure,-0.1,93.2,-42.0,4.021,5195.8,yes
36712,34,admin.,single,high.school,no,no,no,cellular,jun,fri,548,2,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,yes
35040,30,management,single,university.degree,no,yes,no,cellular,may,fri,637,1,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,yes
21853,42,technician,married,professional.course,no,yes,no,cellular,aug,wed,543,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,yes
41147,25,technician,single,professional.course,no,yes,no,cellular,nov,fri,712,2,19,1,success,-1.1,94.767,-50.8,1.04,4963.6,yes
36445,30,admin.,married,university.degree,no,no,no,cellular,jun,tue,250,2,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,yes
38652,28,self-employed,married,professional.course,no,yes,no,cellular,nov,tue,179,1,999,0,nonexistent,-3.4,92.649,-30.1,0.72,5017.5,yes
35221,44,blue-collar,married,basic.6y,no,no,no,cellular,may,fri,611,2,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,yes
4672,45,admin.,single,professional.course,no,yes,no,telephone,may,wed,565,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,yes
37571,28,unemployed,married,professional.course,no,no,no,cellular,aug,fri,276,2,999,0,nonexistent,-2.9,92.201,-31.4,0.869,5076.2,yes
7613,49,blue-collar,married,basic.6y,no,yes,no,telephone,may,fri,1980,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,yes
35415,35,technician,divorced,professional.course,no,no,no,cellular,may,fri,692,3,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,yes
38975,50,admin.,single,high.school,no,yes,no,telephone,dec,fri,705,2,999,0,nonexistent,-3.0,92.713,-33.0,0.718,5023.5,yes
26273,34,technician,married,high.school,no,no,no,cellular,nov,thu,732,1,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,yes
16273,33,services,single,high.school,unknown,yes,no,cellular,jul,tue,560,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,yes
40823,33,technician,single,professional.course,no,yes,no,cellular,sep,fri,395,1,999,0,nonexistent,-1.1,94.199,-37.5,0.879,4963.6,yes
9998,41,technician,married,professional.course,unknown,yes,no,telephone,jun,wed,649,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,yes
19115,43,admin.,married,university.degree,no,yes,no,cellular,aug,tue,531,3,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,yes
39626,22,student,single,unknown,no,yes,no,cellular,may,mon,171,2,3,2,success,-1.8,93.876,-40.0,0.682,5008.7,yes
40442,26,admin.,single,university.degree,no,no,no,cellular,aug,mon,242,1,6,5,success,-1.7,94.027,-38.3,0.904,4991.6,yes
36548,23,student,single,high.school,no,no,no,cellular,jun,wed,200,2,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
37214,33,blue-collar,married,basic.9y,no,no,no,cellular,aug,fri,79,1,999,1,failure,-2.9,92.201,-31.4,0.881,5076.2,yes
36531,48,admin.,married,university.degree,no,yes,no,cellular,jun,wed,447,2,4,1,success,-2.9,92.963,-40.8,1.26,5076.2,yes
40692,38,services,single,high.school,no,no,no,cellular,sep,fri,256,2,999,0,nonexistent,-1.1,94.199,-37.5,0.878,4963.6,yes
30516,31,admin.,single,university.degree,no,yes,no,cellular,may,mon,434,4,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,yes
10707,30,self-employed,single,university.degree,no,yes,no,telephone,jun,tue,2621,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,yes
39490,57,housemaid,married,basic.4y,no,no,no,cellular,apr,wed,224,2,6,1,success,-1.8,93.749,-34.6,0.642,5008.7,yes
40720,34,admin.,married,professional.course,no,yes,yes,cellular,sep,tue,409,1,999,1,failure,-1.1,94.199,-37.5,0.877,4963.6,yes
39320,59,unemployed,married,basic.9y,no,yes,no,cellular,mar,mon,254,2,999,0,nonexistent,-1.8,93.369,-34.8,0.639,5008.7,yes
28418,30,self-employed,single,university.degree,no,no,no,cellular,apr,thu,245,3,999,0,nonexistent,-1.8,93.075,-47.1,1.435,5099.1,yes
29031,37,admin.,divorced,high.school,no,yes,no,cellular,apr,fri,1311,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
7542,41,entrepreneur,married,university.degree,no,yes,no,telephone,may,fri,691,10,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,yes
36560,69,entrepreneur,married,high.school,no,no,no,cellular,jun,wed,144,2,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
